-armig;-karú
Mittelwort;melléknévi igenév
Mittelwort;határozói
Mittelwort (s);melléknévi igenév
Mittelwort (s);határozói
mitten;közepette
mitten;közepén
mitten;kellős közepén
mitten im Winter;a tél derekán
mittendrin;kellős közepében
mittendrin;bent
mittendrin;benn
mittendruch;kétféle
Mitternacht (e);éjfél
mitternachts;éjfélkor
mitternächtlich;éjféli
mittler;ld. mittel
mittlerweile;időközben
mittun;tart vkivel
mittun;részt vesz
mittwegs;félúton
Mittwoch (r);szerda
Mittwoch vor acht Tagen;szerdán múlt egy hete
mittwochs;szerdán
mittwochs;szerdáként
mittwochs;szerdai napokon
mitunter;olykor
mitunter;közbe-közbe
Mitverfasser (r);társszerző
mitverstanden;beleértve
Mitwelt (e);kortársak
Mitwelt (e);jelenkor
mitwirken;közreműködik
mitwirken;közremüködik
mitwirken;együttműködik
mitwirken;együttmüködik
Mitwissen;tudomás
Mitwissen (s);tudomás
Mitwohner (r);lakótárs
mixen;mixel
mixen;kever
Mobilien (Pl.);ingóságok
mobilisieren;mosgóság
mochte;ld. mögen
Mode (e);divat
Modeartikel (r);divatcikk
Modeberuf (r);divatszakma
Modeblatt;ld. Modezeitung
Modeblatt;ld. Modenzeitung
Modeblatt (s);ld. Modezeitung
Modeblatt (s);ld. Modenzeitung
Modell;modell
Modell;minta
Modell (s);modell
Modell (s);minta
modellieren;modellez
modellieren;megmintáz
Modenhaus (e);divatkereskedés
Modenhaus (e);divatáruház
Modenschau (e);divatbemutató
Modenzeitung (e);divatlap
moderig;korhad
moderig;dohos
modern;modern
modern;mállik
modern;dohosodik
modern;divatos
modernisieren;modernizál
modernisieren;korszerűsít
modernisieren;korszerüsít
Modeschau (e);divatbemutató
Modezeitung (e);divatlap
modifizieren;módosít
modifizieren s.;módosul
modisch;divatos
Modistin (e);varrónő
Modistin (e);kalaposnő
Modistin (e);divatárusnő
mogeln;csal
Mohammedaner (r);mohamedán (ember)
mohammedanisch;mohamedán
Mohn (r);mák
Mohr (r);szerecsendió
Mohrrübe (e);ld. Möhre
Mokka (r);mokkakávé
Mokka (r);feketekávé
Molch (r);szalamandra
Molch (r);gőte
Mole (e);móló
Molekül;molekula
Molekül (s);molekula
molestieren;zaklat
molestieren;molesztál
molett;molett
molett;kövérkés
molk;ld. melken
Molkerei (e);tejgazdaság
molkig;savós
mollig;molett
mollig;meleg
mollig;lágy
mollig;jóleső
mollig;dundi
Moment;nyomaték
Moment;mozzanat
Moment;momentum
Moment (r);pillanat
Moment (s);nyomaték
Moment (s);mozzanat
Moment (s);momentum
momentan;pillanatnyi
Monat (r);hónap
monatelang;hónapokig tartó
monatelang;hónapokig
monatlich;hónapi
monatlich;havonta
monatlich;havonként
monatlich;havi
Monatskarte (e);havijegy
Monatskarte (e);bérlet
Monatsrate (e);havirészlet
monatsweise;havonta
monatsweise;havonként
Monatszimmer;hónaposszoba
Monatszimmer (s);hónaposszoba
monatweise;havonta
monatweise;havonként
Mond (r);hold
mondän;nagyvilági
Mondschein (r);holdvilág
Mongole (r);mongol (ember)
Mongolei (e);Mongólia
mongolisch;mongol
Montag (r);hétfő
montags;hétfőnként
montags;hétfőn
montags;hétfői napokon
montägig;hétfői
montäglich;hétfőnként
Monteur (r);gépszerelő
montieren;felszerel
Monument;szobor
Monument;emlékmű
Monument (s);szobor
Monument (s);emlékmü
Moor;láp
Moor (s);láp
Moorbad;iszapfürdő
Moorbad (s);iszapfürdő
moorig;lápos
moorig;ingoványos
Moos;moha
Moos (s);moha
Moped;robogó
Moped (s);robogó
mopsen;megfúj
mopsen;ellop
mopsen;elemel
mopsen;elcsen
mopsen s.;unatkozik
mopsen s.;mérgelődik
Moral (e);tanulság
Moral (e);erkölcs
moralisch;erkölcsös
moralisch;erkölcsi
Morast (r);mocsár
Morast (r);ingovány
morastig;mocsaras
Mord (r);gyilkosság
morden;gyilkol
Mordshunger (r);farkasétvágy
Mordskerl (r);fenegyerek
morgen;reggel
morgen;holnap
Morgen (r);reggel
Morgen (r);hold (területmérték)
Morgen (r);hajnal
Morgen (s);holnap
morgen um diese Zeit;holnap ilyenkor
Morgenbrot;reggeli
Morgenbrot (s);reggeli
Morgenland;Kelet
Morgenland (s);Kelet
Morgenrock (r);pongyola
Morgenrot;hajnalpír
Morgenrot (s);hajnalpír
morgens;reggelente
morgens;reggelenként
morgens;reggel
Morgensstunde hat Gold im Munde;ki korán kel, aranyat lel
Morgensstunde hat Gold im Munde;ki korán kel
Morgensstunde hat Gold im Munde;aranyat lel
morgig;holnapi
morsch;korhadt
morsen;morzézik
Moschee (e);mecset
Moschus (r);pézsma
Moskau;Moszkva
Most (r);must
Motel;motel
Motel (s);motel
Motiv;motívum
Motiv (s);motívum
Motor (r);motor
Motorgehäuse;motorház
Motorgehäuse (s);motorház
Motorhaube (e);motorháztető
Motorpanne (e);motorhiba
Motorrad;motorkerékpár
Motorrad (s);motorkerékpár
Motorradrennen;motorverseny
Motte (e);moly
mottig;molyos
Möbel;bútor
Möbel (s);bútor
Möbel aller Arten;mindenféle bútor
möblieren;bebútoroz
möchten Sie sich nicht setzen ?;nem foglalna helyet ?
mögen;szívesen -na
mögen;szívesen -na, -ne
mögen;szeret
mögen;-ne
mögen;lehet
mögen;kedvel
mögen;-hat, -het
mögen;-hat
mögen;akar
möglich;lehetséges
möglich;lehetőleg
möglich machen;lehetővé tesz
möglicherweise;lehet, hogy ...
möglicherweise;talán
möglicherweise;lehet
möglicherweise;hogy ...
möglicherweise;esetleg
Möglichkeit (e);lehetőség
möglichst;lehetőség szerint
möglichst;lehetőleg
Möhre (e);sárgarépa
Mönch (r);szerzetes
Mönch (r);barát
Mörder (r);gyilkos
Mörser (r);mozsár
Mörtel (r);vakolat
Mörtel (r);habarcs
mörteln;vakol
Möwe (e);sirály
Mucke (e);szeszély
mucken;megmoccan
Muff (r);penész
Muff (r);muff
Muff (r);dohosság
Muff (r);doh
Muhme (e);unokahúg
Muhme (e);nagynéni
Mulde (e);vályú
Mulde (e);teknő
multiplizieren;szoroz
Mumie (e);múmia
Mumm (r);mersz
mummen;bebugyolál
Mund (r);száj
Mundart (e);tájszólás
Mundart (e);nyelvjárás
munden;ízlik
mundgerecht;szájíze szerinti
Mundstück;szopóka
Mundstück;csővég (műsz)
Mundstück (s);szopóka
Mundstück (s);csővég (müsz)
mundtot;elnémított
mundtot machen;elnémít
Mundtuch;szalvéta
Mundtuch;asztalkendő
Mundtuch (s);szalvéta
Mundtuch (s);asztalkendő
Mundvoll;korty
Mundvoll;harapás
Mundvoll;falat
Mundvoll (s);korty
Mundvoll (s);harapás
Mundvoll (s);falat
Mundvorrat (r);útravaló
Mundwerk;beszélőke
Mundwerk (s);beszélőke
Munition (e);lőszer
munkeln;rebesget
munter;élénk
munter;éber
munter werden;felébred
Mur (e);Mura
murmeln;mormog
murmeln;dörmög
murmeln;csobog
Murmeltier;mormota
Murmeltier (s);mormota
murren;morog
murren;mormog
Mus;lekvár
Mus (s);lekvár
Muschel (e);kagyló
Museum;múzeum
Museum (s);múzeum
Musik (e);zene
Musik (e);muzsika
musikalisch;zenei
musikalisch;zeneértő
Musiker (r);zenész
Musiker (r);muzsikus
musizieren;zenél
musizieren;muzsikál
Muskatnuß (e);szerecsendió
Muskel (r);izom
Muskelfieber;izomláz
Muskelfieber (s);izomláz
muskelig;izmos
Muskelkater (r);izomláz
Muskulatur (e);izomzat
Muster;minta
Muster (s);minta
Musterbild;példakép
Musterbild (s);példakép
mustergültig;példás
musterhaft;mintaszerű
musterhaft;mintaszerü
mustern;soroz (kat)
mustern;vizsgál
mustern;vizsgálgat
mustern;szemügyre vesz
mustern;megmintáz
Musterwerk;remekmű
Musterwerk (s);remekmü
Muß;szükségesség
Muß;kényszerűség
Muß (s);szükségesség
Muß (s);kényszerüség
Muße (e);szabadidő
Muße (e);pihenő
mußte;ld. müssen
Mut (r);mersz
Mut (r);kedv
Mut (r);hangulat
Mut (r);bátorság
Mut fassen;összeszedi bátorságát
Mut fassen;bátorságot merít
Mut schöpfen;bátorságot merít
mutig;bátor
mutlos;bátortalan
mutmaßen;sejt
mutmaßen;feltételez
mutmaßlich;sejthető
mutmaßlich;feltehető
Mutmaßung (e);feltevés
Mutter (e);édesanya
Mutter (e);csavaranya (müsz)
Muttergottes (e);Boldogasszony
Mutterliebe (e);anyai szeretet
Muttermal;anyajegy
Muttermal (s);anyajegy
Muttermilch (e);anyatej
Mutterschaft (e);anyaság
mutterseelenallein;egyes-egyedül
mutterseelenallein;anyátlan árván
Muttersönchen;mama kedvence
Muttersönchen;anyámasszony katonája
Mutterwitz (r);talpraesettség
Mutterwitz (r);egészéges humor
mutuell;kölcsönös
mutwilllig;szeszélyes
mutwilllig;szándékos
mutwilllig;pajkos
mutwilllig;csintalan
mutwilllig;bolondos
Mücke (e);szúnyog
Mückenstich (r);szúnyogcsípés
müde;fáradt
müde machen;kifáraszt
müde machen;elfáraszt
müde werden;kifárad
müde werden;elfárad
Müdigkeit (e);fáradtság
Mühe (e);vesződség
Mühe (e);fáradság
Mühe (e);fáradozás
mühevoll;fáradságos
Mühle (e);malom
Mühsal (e);vesződség
Mühsal (e);nehézség
Mühsal (e);gond
Mühsal (e);fáradság
Mühsal (e);fáradozás
mühsam;nehéz
mühsam;fáradságos
mühselig;fáradságos
Müll (r);szemét
Müllabfuhr (e);szemétszállítás
Mülleimer (r);szemétláda
Mülleimer (r);szemetesláda
Müller (r);molnár
Müllhalde (e);szemétdomb
Mülltonne (e);kuka
Mülltrennung (e);szelektív szemétszállítás
Müllwagen (r);szemeteskocsi
Mündel;gyámgyerek
Mündel (s);gyámgyerek
münden;torkollik
mündig;nagykorú
mündlich;szóbeli
Mündung (e);torkolat
Mündung (e);nyílás
Mündung (e);betorkolás
Münster (r)(s);székesegyház
Münze (e);pénzverde
Münze (e);fémpénz
Münze (e);érme
Münze (e);érem
münzen;pénzt ver
Münzkunde (e);éremtan
mürb;puha
mürb;porhanyós
mürb;lágy
mürb machen;megpuhít
mürb werden;megpuhul
mürrisch;morcos
mürrisch;mogorva
müssen;muszáj
müssen;kell
müßig;szabad
müßig;ráérő
müßig;hiábavaló
müßig;céltalan
Müßiggänger (r);naplopó
Müßiggänger (r);henyélő
Mütterchen;anyóka
Mütterchen;anyácska
Mütterchen (s);anyóka
Mütterchen (s);anyácska
mütterlich;anyai
mütterlicherseits;anyai részről
Mütze (e);sapka
Myrte (e);mirtusz
mysteriös;rejtélyes
mystisch;misztikus
Mythe (e);mítosz
Mythologie (e);mitológia
Mz. (Mehrzahl);tsz. (többes szám) (nyelvt)
Mz. (Mehrzahl);tb.
N (Norden);É (Észak)
n.Chr.G. (nach Christi Geburt);Kr.u. (Kriszus születése után)
n.J. (nächsten Jahres);j.é. (jövő évi)
na und ?;na és aztán ?
na, und ob !;mi az hogy !
Nabe (e);kerékagy
Nabel (r);köldök
nach;után
nach;szerint
nach;-ra
nach;múlva
nach;-be
nach;-ba
nach ... verschlagen;vhova vetődött
nach ... verschlagen;elkerült
nach +D;után
nach +D;szerint
nach +D;-ra, -re
nach +D;múlva
nach +D;felé
nach +D;-ért
nach +D;-ba, -be
nach Atem ringen;levegőért kapkod
nach außer;kifelé
nach Belieben;tetszés szerint
nach Berlin;Berlinbe
nach Berlin umsteigen !;Berlin felé átszállás !
nach dem Arzt schicken;orvosért küld
nach der Arbeit sehen;ügyel a munkára
nach der Arbeit sehen;munkához lát
nach der Reihe;sorjában
nach der Reihe;sorban
nach Einbrenne schmecken;rántásízű
nach Einbrenne schmecken;rántásíze van
nach einem uralten Rezept;egy ősrégi recept szerint
nach einer guten Stunde;egy jó óra múlva
nach etw. fiebern;eped vmi után
nach etw. verlangen;vmi után
nach etw. verlangen;vágyódik vmire
nach etw. werben;törekszik vmire
nach Hause;hazafelé
nach Hause finden;hazatalál
nach Hause lassen;hazaenged
nach hinten;hátrafelé
nach jm. schicken;elküld vkiért
nach Kräften;tőle telhetően
nach Maßgabe;vmihez mérten
nach Maßgabe;képest
nach Männerart;férfi módra
nach Mäß nähen;mérték után varr
nach meinem Ermessen;megítélésem szerint
nach meiner Ansicht;nézetem szerint
nach Norden gehen;északra nyílik
nach Norden gehen;északra néz
nach Norden gehen;észak felé megy
nach oben;felfelé
nach rechts und links;jobbra-balra
nach senier Meinung;véleménye szerint
nach und nach;lassanként
nach und nach;apránként
nach Ungarn;Magyarországra
nach wie vor;továbbra is
nachahmen;utánoz
Nachahmung (e);utánzat
Nachahmung (e);utánzás
Nachbar (r);szomszéd
Nachbarin (e);szomszédasszony
nachbarlich;szomszédos
nachbarlich;szomszéd
nachbessern;javítgat
nachbestellen;utánrendel
nachbilden;utánoz
nachbilden;alkot vmi mintájára
Nachbildung (e);utánzat
nachbringen;utánavisz
nachbringen;utánahoz
nachdem;miután
nachdem;minthogy
nachdenken;elgondolkozik
nachdenklich;gondolkoztató
nachdenklich;gondolkodtató
nachdenklich;gondolkodó
Nachdruck (r);utánnyomás
Nachdruck (r);nyomaték (átv.)
Nachdruck (r);lenyomat
nachdrüklich;nyomatékos
nachdrüklich;kifejezett
nacheilen;utánasiet
nacheinander;sorjában
nacheinander;egymás után
Nachfolge (e);utódlás
Nachfolge (e);követés
nachfolgen;következik
nachfolgen;követ
Nachfolger (r);utód
Nachfolger (r);követő
nachforschen;utánajár
nachforschen;tudakozódik
nachforschen;nyomoz
Nachfrage (e);tudakozódás
Nachfrage (e);kereslet
Nachfrage (e);kérdezősködés
nachfragen;kérdezősködik
nachfragen;érdeklődik
nachgeben;utánaad
nachgeben;enged
nachgeben;alábbhagy
nachgehen;utánamegy vkinek
nachgehen;utánajár
nachgehen;követ vkit
nachgehen;késik (óra)
nachgehen +D;utánamegy vkinek
nachgehen +D;követ vkit
nachgeraten;üt vkire
nachgeraten;hasonlít
nachgiebig;engedékeny
nachgießen;utántölt
Nachhall (r);visszhang
nachhaltig;tartós
nachhaltig;kitartó
nachhängen;utánakaszt
nachhängen;ráakaszt
nachhängen;követ
nachhängen;hajhász
nachhängen;átadja magát vminek
nachhelfen;támogat
nachhelfen;segít
nachher;utána
nachher;azután
nachher;aztán
nachherig;utóbbi
nachherig;későbbi
Nachhilfe (e);támogatás
Nachhilfe (e);segítség
nachholen;utánahoz
nachholen;pótol
Nachkomme (r);utód
Nachkomme (r);leszármazott
Nachkomme (r);ivadék
nachkommen;utánamegy
nachkommen;utánajön
nachkommen;követ
nachkommen;eleget tesz
nachlassen;leenged
nachlassen;meglazít
nachlassen;megereszt
nachlassen;utánafolyat
nachlassen;utánaereszt
nachlassen;hátrahagy
nachlassen;hagyományoz
nachlassen;felenged
nachlassen;csökken
nachlassen;enyhül
nachlassen;elenged
nachlassen;alábbhagy
Nachlaß (r);hátrahagyás
Nachlaß (r);hagyaték
Nachlaß (r);enyhülés
Nachlaß (r);elengedés
Nachlaß (r);csökkenés
Nachlaß (r);alábbhagyás
nachlaufen;utánaszalad
nachlässig;hanyag
nachlässig;gondatlan
Nachlese (e);tallózás
nachmachen;utánoz
nachmachen;utánacsinál
nachmalig;utóbbi
nachmalig;későbbi
Nachmittag (r);délután
nachmittäglich;délutánonként
nachmittäglich;délutáni
Nachnahme (e);utánvét
nachprüfen;felülvizsgál
nachrechnen;utánaszámol
Nachrede (e);utószó
Nachrede (e);megszólás
nachreden;utánamond
nachreden;megszól
nachreisen;utánautazik
Nachricht (e);tudósítás
Nachricht (e);hír
nachsagen;utánamond
nachsagen;megszól
Nachsatz (r);utószó
Nachsatz (r);függelék
Nachschau (e);utánanézés
Nachschau (e);ellenőrzés
nachschicken;utánaküld
nachschlagen;utánavág
nachschlagen;utánaüt
nachschlagen;utánanéz (könyvben)
nachschlagen;fellapoz
Nachschlaggewerk;útbaigazító mű
Nachschlaggewerk;kézikönyv
Nachschrift (e);utóirat
Nachschub (r);utánpótlás
nachsehen;utánanéz
nachsehen;elnéz
Nachsicht (e);elnézés
nachsichtig;türelmes
nachsichtig;elnéző
nachsichtlos;kíméletlen
Nachsilbe (e);toldalék
Nachsilbe (e);rag
Nachsilbe (e);képző
Nachsommer (r);nyárutó
Nachspeise (e);utóétel
Nachspeise (e);desszert
Nachspiel;utójáték
Nachspiel (s);utójáték
nachstehen;elmarad vki mögött
nachstehen;elmarad vki mögött (átv.)
nachstehen;áll vki után/mögött
nachstehend;következő
nachstehend;alábbi
nachstellen;hátrébb tesz
nachstellen;utánaállít
nachstellen;visszaigazít
nachstellen;üldöz
nachstellen;hátrább tesz
nachsuchen;keres
nachsuchen;kér
nacht;ld. nachts
Nacht (e);éjjel
Nacht (e);éjszaka
Nacht (e);éj
Nachteil (r);kár
Nachteil (r);hátrány
nachteilig;káros
nachteilig;hátrányos
nachtelang;éjszakákon át
Nachtgleiche (e);napéjegyenlőség
Nachthemd;hálóing
Nachthemd (s);hálóing
Nachtigall (e);fülemüle
Nachtigall (e);csalogány
Nachtisch (r);utóétel
Nachtlager;hálóhely
Nachtlager;éjjeli szállás
Nachtlager;éjjeli fekvőhely
Nachtlager (s);hálóhely
Nachtlager (s);éjjeli szállás
Nachtlager (s);éjjeli fekvőhely
Nachtmahl;vacsora
Nachtmahl (s);vacsora
nachtmahlen;vacsorázik
nachtraben;utánaüget
Nachtrag (r);pótlás
Nachtrag (r);kiegészítés
nachtragen;orrol
nachtragen;utánavisz
nachtragen;haragot tart
nachträglich;utólagos
nachträglich;utólag
nachträglich;után
nachts;éjszaka
nachts;éjjel
Nachtschicht (e);éjszakai müszak
Nachtschicht (e);éjjeli müszak
nachtsüber;egész éjjel
nachtun;utánoz
nachtun;utánacsinál
Nachtverkehr (r);éjjeli forgalom
nachwachsen;utánanő
Nachweis (r);igazolás
Nachweis (r);kimutatás
Nachweis (r);bizonyíték
nachweisen;igazol
nachweisen;kimutat
nachweisen;felmutat
Nachwelt (e);utókor
Nachwinter (r);télutó
Nachwirkung (e);utóhatás
Nachwort;utószó
Nachwort;utóhang
Nachwort (s);utószó
Nachwort (s);utóhang
Nachwuchs (r);utánpótlás
Nachwuchs (r);új nemzedék
Nachwuchs (r);új hajtás
nachzahlen;utánafizet
Nachzeit (e);utókor
nachziehen;utánavonul
nachziehen;maga után húz
nachziehen;maga után von (átv.)
nachziehen;utánarajzol
nachziehen;utánaköltözik
nachziehen;maga után von
nachziehen;kihúz
Nachzügler (r);későn jövő
Nachzügler (r);elmaradozó
Nachzügler (r);elmaradó
Nacken (r);tarkó
Nacken (r);nyakszirt
Nacken (r);nyak
Nackheit (e);meztelenség
nackt;meztelen
nackt;csupasz
Nadel (e);tü
Nadelöhr;tűfok
Nadelöhr (s);tüfok
Nadelwald (r);tülevelü erdő
Nadelwald (r);fenyveserdő
Nagel (r);szög
Nagel (r);szeg
Nagel (r);köröm
nagelfest;elmozdíthatatlan
nageln;odaszegez
nageln;megszegez
nageln;leszegez
nagelneu;vadonatúj
nagen;töpreng
nagen;rágcsál
nagen;rág
nagen;furdal
nagen;tönkretesz
nagen;rágódik
nagen;mardos
nagen;aláás
nahe;-hoz, -hez, -höz közel
nahe;-höz közel
nahe;-hoz
nahe;közeli
nahe;közelében
nahe;közel
nahe;-hez
nahe am Fenster;az ablak közelében
nahelegen;közeli
nahen;közeleg
nahen;közeledik
nahestehen;közel áll vkihez
nahestehen;baráti viszonyban van vkivel
nahm;ld. nehmen
nahrhaft;tápláló
Nahrung (e);táplálék
Nahrungsmittel;élelmiszer
Nahrverkehr (r);helyi forgalom
Naht (e);varrat
Naht (e);varrás
Name (r);név
namenlos;névtelen
namens;nevű
namens;nevü
namens;nevében
namens;nevezetű
namens;nevezetü
namens;név szerint
Namensschild;névtábla
Namensschild (s);névtábla
Namenstag (r);névnap
Namenszug (r);kézjegy
Namenszug (r);monogram
Namenszug (r);aláírás
namentlich;nevezetesen
namhaft;megnevezett
namhaft;nevezetes
namhaft;neves
namhaft;jelentős
namhaft machen;megnevez
nannte;ld. nennen
nanu;nahát
nanu;ejha
Napf (r);kis tál
Napf (r);tálacska
Napf (r);csésze
Napfkuchen (r);kuglóf
Narbe (e);heg
Narbe (e);foradás
narbig;heges
narbig;forradásos
Narr (r);bolond
Narzisse (e);nárcisz
naschen;torkoskodik
naschen;nassol
naschhaft;torkos
naschhaft;nyalánk
Nase (e);orr
Nasenflügel (r);orrcimpa
naseweis;kotnyeles
Nashorn;orrszarvú
Nashorn (s);orrszarvú
naß;vizes
naß;nedves
naßfest;vízálló
naßfest;nedvességálló
naßkalt;nyirkos
Nation (e);nemzet
national;nemzeti
Nationalbewußtsein;nemzeti öntudat
Nationalfarben (Pl.);nemzeti színek
nationalisieren;honosít
nationalisieren;államosít
nationalistisch;nacionalista
Nationalität (e);nemzetiség
Nationalität (e);állampolgárság
Natter (e);sikló
Natur (e);természet
Naturalien (Pl.);természetbeli járandóság
Naturalien (Pl.);termények
Naturell;természet
Naturell;lelkialkat
Naturell (s);természet
Naturell (s);lelkialkat
naturfarben;természetes színü
naturfarben;természetes színű
naturfarben;nyers színű
naturfarben;nyers színü
naturgemäß;természetszerű
naturgemäß;természetszerü
naturgemäß;természetes
naturgetreu;természethű
naturgetreu;természethü
Naturkunde (e);természetismeret
Naturkunde (e);természetrajz
Naturkunde (e);környezetismeret
Naturschätze (Pl.);természeti kincsek
Naturschutz (r);természetvédelem
naturverbunden;természetszerető
naturverbunden;természetkedvelő
naturwidrig;természetellenes
natürlich;természetes
natürlich;természetesen
natürlich;persze
nächst;után
nächst;mellett
nächst;következő
nächst;kívül
nächst +D;után
nächst +D;mellett
nächst +D;kívül
nächstdem;nemsokára
nächstdem;legközelebb
nächste;legközelebbi
nächste;következő
Nächste (r)(e);felebarát
Nächste (s);legközelebbi
Nächste (s);következő
nächstens;legközelebbi
nächstgelegen;legközelebbi
nächstjährig;jövő évi
nächtigen;meghál
nächtigen;éjszakázik
nächtigen;éjjeli szállást ad
nächtlich;éjszakai
nächtlich;éjjeli
Nähe (e);közelség
Nähe (e);közellét
Nähe (e);közel
nähen;varr
nähen;megvarr
näher;ld. nahe
Näherin (e);varrónő
nähern;közelít
nähern s.;közeledik vmihez
nähern s. +D;közeledik vmihez
Nähmaschine (e);varrógép
nähre Erkundigungen;közelebbi
nähre Erkundigungen;bővebb felvilágosítások
nähren;táplál
nähren;fenntart
nähren;eltart
nähren s.;táplálkozik
Nährmittel;tápszer
Nährmittel (s);tápszer
nämlich;ugyanis
nämlich;ugyanez
nämlich;ugyanaz
nämlich;tudniilik
nämlich;mart
närrisch;bolondos
närrisch;bolond
näseln;orrhangon beszél
Nässe (e);nedvesség
nässen;megnedvesít
näßlich;nedves
Neapel;Nápoly
Nebel (r);köd
nebelhaft;ködszerű
nebelhaft;ködszerü
nebelhaft;ködös
nebelig;ködös
neben;mellett
neben;mellé
neben +A;mellé
neben +D;mellett
neben dir;melletted
neben dir;hozzád képest
neben mich;mellém
neben/hinter jm. hergehen;mendegél
neben/hinter jm. hergehen;megy vki mellett/mögött
nebenan;mellette
nebenan;a szomszédban
nebenbei;mellékesen
nebenbei;amellett
Nebenbuhler (r);vetélytárs
nebeneinander;egymás mellett
nebeneinander;egymás mellé
Nebeneinkommen;mellékjövedelem
Nebenfluß (r);mellékfolyó
Nebengasse (e);szomszédos utca
Nebengasse (e);szomszéd utca
Nebengasse (e);mellékutca
nebenher;mellette
nebenher;egyidejűleg
nebenher;egyidejüleg
nebenher;egyidejűen
nebenher;egyidejüen
nebenhin;mellette
nebenhin;mellesleg
nebenhin;mellé
Nebenkosten (Pl.);rezsi
Nebenkosten (Pl.);mellékköltségek
Nebenmann (r);szomszéd (a sorban)
Nebenordnung (e);mellérendeltség
Nebenordnung (e);mellérendelés
Nebensache (e);nem fontos dolog
Nebensache (e);mellékes
Nebensatz (r);mellékmondat
nebensächlich;nem fontos
nebensächlich;mellékes
nebenstehend;szomszédos
nebenstehend;mellette álló
nebenstehend;mellékelt
Nebenstraße (e);mellékútvonal
Nebenumstand (r);mellékkörülmény
Nebenzimmer;szomszéd szoba
Nebenzimmer (s);szomszéd szoba
neblig;ködös
nebst;-vel
nebst;-val
nebst;-stül
nebst;-stul
nebst;együtt
nebst +D;-val, -vel
nebst +D;-stul, -stül
nebst +D;együtt
necken;ugrat
necken;kötődik
necken;kötekedik
necken;húz
neckisch;negédes
neckisch;ingerkedő
neckisch;incselkedő
Neffe (r);unokaöcs
negativ;negatív
Neger (r);néger
nehmen;levesz
nehmen;kivesz
nehmen;felvesz
nehmen;megfog
nehmen;felfogad
nehmen;elvesz
nehmen;elfoglal
nehmen;elfogad
nehmen;bevesz
Neid (r);irigység
neiden;irigykedik
neiden;irigyel
neidisch;irigy
Neige (e);vége vminek
Neige (e);lejtő
Neige (e);fogyta
Neige (e);ereszkedő
neigen;meghajt
neigen;megdönt
neigen;lehajt
neigen s.;meghajol
neigen s.;meghajlik
neigen s.;megdől
neigen s.;lehajol
neigen zu;hajlik vmire
neigen zu;hajlamos vmire
neigen zu +D;hajlik vmire
neigen zu +D;hajlamos vmire
Neigung (e);vonzalom
Neigung (e);maghajlás
Neigung (e);hajlandóság
Neigung (e);hajlam
Neigung (e);ereszkedés
Neigung (e);dőlés
nein;sőt
nein;nem
nein, so etwas !;no de ilyet !
nein, so etwas !;még ilyet !
Nelke (e);szegfü
nennen;megnevez
nennen;elnevez
nennen;benevez (sp)
nennen s.;megnevezi magát
nennen s.;hallgat vmilyen névre
nennenswert;említésre méltó
Nenner (r);nevező
Nennfall (r);alanyeset
Nennform (e);főnévi igenév
Nennwert (r);névérték
Nennwort;névszó
Nennwort (s);névszó
Neonröhre (e);neonlámpa
Neonröhre (e);neoncső
Nerv (r);ideg
Nervenarzt (r);idegorvos
nervenkrank;idegbeteg
nervenkrank;idegbajos
nervig;izmos
nervös;ideges
Nesselnrand (r);csaláncsípés
Nest;fészek
Nest (s);fészek
Nesthäkchen;madárfióka
Nesthäkchen;legfiatalabb gyermek
Nesthäkchen (s);madárfióka
Nesthäkchen (s);legfiatalabb gyermek
nett;világos
nett;tiszta
nett;takaros
nett;szíves
nett;kedves
nett;csinos
netter Kerl;helyes teremtés
Netz;háló
Netz (s);háló
Netzflügler (Pl.);recésszárnyúak
netzhaut (e);recehártya
netzhaut (e);ideghártya
neu;új
neuartig;újszerű
neuartig;újszerü
Neuauflage (e);új kiadás
Neubau (r);új épület
Neubau (r);új építkezés
Neubau (r);panelház
neudrings;újra
neudrings;újonnan
neudrings;újból
neudrings;újabban
neudrings;nemrégiben
Neuerer (r);újító
neuern;újít
Neuerung (e);újítás
neuestens;újabban
neuestens;legújabban
neugeboren;újszülött
neugeboren;újjászületett
neugestaltet;újjáalakított
Neugier (e);kíváncsiság
Neugierde (e);kíváncsiság
neugierig;kíváncsi
Neuheit (e);újdonság
Neuigkeit (e);újság
Neuigkeit (e);újdonság
Neujahr;újév
Neujahr;újesztendő
Neujahr (s);újév
Neujahr (s);újesztendő
neulich;nemrég
neulich;múltkori
neulich;múltkor
neulich;minap
neulich;legutóbbi
Neuling (r);újonc
Neuling (r);kezdő
Neumond (r);újhold
neun;kilenc
Neun (e);kilences szám
Neuner (r);kilences
neunerlei;kilencféle
neunfach;kilencszeres
neunhundert;kilencszáz
neunjährig;kilencévi
neunjährig;kilencéves
neuntausend;kilencezer
neunte;kilencedik
neunzehn;tizenkilenc
neunzig;kilencven
Neunzig (e);kilencvenes szám
neunziger;kilencvenes
neunzigste;kilencvenedik
neutral;semleges
neutral;közömbös
neutralisieren;semlegesít
neutralisieren;közömbösít
Neutralität (e);semlegesség
Neuzeit (e);újkor
nicht;sem
nicht;se
nicht;nem
nicht;ne
nicht ..., noch ...;sem ..., sem ...
nicht ..., noch ...;sem ...
nicht bei Gelde sein;nincs pénze
nicht dass ich wüßte;tudtommal nem
nicht dass ich wüßte;nem mintha tudnék róla
